City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
nikolskoye,75,RU,1551943880,73,59.7,30.79,-2.78,4.0
sitka,0,US,1551943907,74,37.17,-99.65,-0.57,1.79
carnarvon,0,ZA,1551944050,21,-30.97,22.13,30.1,2.06
clovis,90,US,1551944008,93,36.83,-119.7,13.0,4.01
kodiak,90,US,1551944009,85,39.95,-94.76,0.0,2.1
bethel,40,US,1551941760,86,60.79,-161.76,-2.0,3.1
margate,0,AU,1551943786,34,-43.03,147.26,20.0,5.7
port alfred,80,ZA,1551943998,78,-33.59,26.89,22.78,3.58
kawalu,56,ID,1551944059,76,-7.38,108.21,24.72,1.16
iqaluit,75,CA,1551943966,75,63.75,-68.52,-28.89,11.8
walvis bay,90,NA,1551942183,82,-22.95,14.51,18.0,2.1
puerto escondido,0,MX,1551944062,100,15.86,-97.07,27.55,4.21
albany,1,US,1551944050,50,42.65,-73.75,-11.67,2.11
busselton,92,AU,1551943979,64,-33.64,115.35,21.67,3.61
butaritari,56,KI,1551944067,99,3.07,172.79,28.95,5.16
mahebourg,40,MU,1551943744,62,-20.41,57.7,30.0,4.1
upernavik,8,GL,1551944069,100,72.79,-56.15,-15.38,9.51
airai,92,TL,1551944070,96,-8.93,125.41,21.72,0.36
hermanus,88,ZA,1551943901,91,-34.42,19.24,20.56,2.24
ketchikan,1,US,1551941760,63,55.34,-131.65,2.0,2.1
sobolevo,76,RU,1551944074,86,54.43,31.9,-1.38,7.51
punta arenas,0,CL,1551943991,75,-53.16,-70.91,5.0,5.7
iquique,0,CL,1551942000,73,-20.22,-70.14,21.0,3.6
komsomolskiy,56,RU,1551944078,87,67.55,63.78,-14.63,4.06
port keats,0,AU,1551944079,71,-14.25,129.55,32.85,3.51
kotovo,0,RU,1551944081,96,50.32,44.8,-5.13,3.61
raudeberg,75,NO,1551943805,86,61.99,5.14,4.0,1.5
tasiilaq,75,GL,1551941400,48,65.61,-37.64,-8.0,9.8
necochea,80,AR,1551943917,83,-38.55,-58.74,25.0,1.34
thompson,5,CA,1551942000,65,55.74,-97.86,-15.0,5.7
bluff,48,AU,1551944088,69,-23.58,149.07,25.72,3.11
hobart,0,AU,1551944055,34,-42.88,147.33,20.0,6.7
rio gallegos,0,AR,1551942000,100,-51.62,-69.22,4.0,8.2
russell,0,AR,1551942000,78,-33.01,-68.8,22.0,1.21
pau,75,FR,1551943900,87,43.3,-0.37,11.67,1.0
rikitea,76,PF,1551944095,95,-23.12,-134.97,27.72,7.41
port hedland,88,AU,1551942000,42,-20.31,118.58,39.0,8.7
aljezur,36,PT,1551943928,85,37.31,-8.8,9.44,4.71
evensk,44,RU,1551944099,98,61.92,159.24,-7.68,5.66
guapi,88,CO,1551944101,95,2.57,-77.89,23.97,1.16
chapais,1,CA,1551942000,74,49.78,-74.86,-31.0,1.5
vaini,0,IN,1551942000,18,15.34,74.49,31.0,3.1
mataura,92,NZ,1551943808,95,-46.19,168.86,10.56,2.24
suntar,56,RU,1551944106,58,62.16,117.65,-6.18,4.31
ushuaia,75,AR,1551942000,86,-54.81,-68.31,3.0,8.7
san isidro,0,PH,1551944110,46,16.74,121.63,30.8,3.66
yellowknife,5,CA,1551943969,83,62.45,-114.38,-15.57,1.0
muros,40,ES,1551944105,93,42.77,-9.06,11.11,3.1
dawei,0,MM,1551944115,46,14.07,98.19,31.25,1.51
tura,0,IN,1551944116,49,25.52,90.21,23.95,2.46
lebu,40,ET,1551942000,57,8.96,38.73,20.0,4.1
lasa,40,CY,1551943812,77,34.92,32.53,17.0,6.2
temyasovo,90,RU,1551942000,74,52.99,58.1,2.0,8.0
hilo,90,US,1551944114,88,19.71,-155.08,19.0,3.1
meulaboh,24,ID,1551944123,100,4.14,96.13,28.85,2.76
avera,1,US,1551944104,92,33.19,-82.53,2.22,1.51
saint-joseph,90,FR,1551943907,87,43.56,6.97,13.89,1.5
barrow,76,AR,1551944127,82,-38.31,-60.23,21.87,7.61
tanout,32,NE,1551944129,15,14.97,8.88,28.6,6.41
ugoofaaru,48,MV,1551944130,100,5.67,73.0,28.0,0.76
iskateley,36,RU,1551944132,81,67.68,53.15,-14.78,6.26
sochi,40,RU,1551942000,81,43.6,39.73,8.0,4.0
pachmarhi,0,IN,1551944135,30,22.47,78.44,27.5,2.91
hithadhoo,0,MV,1551944136,100,-0.6,73.08,28.62,2.81
labuhan,68,ID,1551944138,64,-2.54,115.51,28.32,1.31
drovyanaya,12,RU,1551942000,27,51.58,113.05,5.0,2.0
progreso,0,UY,1551944057,83,-34.68,-56.22,25.0,2.6
pictou,8,CA,1551943973,76,45.68,-62.71,-12.22,4.02
cardston,90,CA,1551944054,84,49.2,-113.32,-15.0,1.0
janakpur,0,NP,1551944145,30,26.73,85.92,27.6,3.11
askino,64,RU,1551944146,88,56.09,56.58,-6.41,6.31
baruun-urt,0,MN,1551944148,12,46.68,113.28,8.25,8.31
castro,90,CL,1551942000,93,-42.48,-73.76,11.0,3.1
east london,64,ZA,1551944061,96,-33.02,27.91,25.0,8.16
port lincoln,32,AU,1551944152,74,-34.72,135.86,20.72,3.76
bud,0,NO,1551943931,68,62.91,6.91,1.67,7.2
cidreira,56,BR,1551944155,90,-30.17,-50.22,22.75,2.11
